882	697	950	922	862	643	753	602	823	822	709	781	669	865	716	624	905	613	937	717	864	826	813	886	674	876	693	739	773	906	763	712	669	801	702	922	643	689	702	844	
1130	903	1123	1110	998	830	1050	783	884	978	851	999	930	988	864	846	1079	797	1043	875	960	989	1041	1041	887	982	925	867	946	987	942	806	875	929	877	1095	880	882	876	1127	
846	631	814	807	748	656	702	535	692	734	655	763	627	668	672	662	850	622	785	825	701	683	725	797	607	727	732	733	708	872	754	648	620	713	604	857	656	675	719	795	
906	704	787	991	737	634	775	557	724	659	617	705	715	786	632	609	780	610	716	776	671	690	794	699	676	733	708	620	802	783	710	578	647	643	533	941	657	677	704	869	
971	875	880	1033	786	745	868	669	804	809	727	841	755	909	657	661	972	660	762	816	893	825	927	938	765	828	814	734	852	888	843	755	737	776	739	995	768	785	719	1008	
1022	771	1091	1082	1005	812	924	701	951	915	768	826	875	1040	811	793	948	813	990	929	944	853	923	904	798	1006	797	937	936	983	823	778	790	954	734	1093	736	851	869	948	
997	785	993	935	904	679	770	620	760	788	651	875	764	937	738	734	943	727	983	833	909	736	822	859	656	860	779	731	841	904	885	684	706	894	760	963	714	760	800	931	
919	694	876	954	819	689	665	596	793	802	704	777	689	792	668	614	906	641	833	759	744	773	822	830	730	784	711	765	763	870	773	744	709	669	675	835	699	686	687	797	
1115	989	1242	1158	1129	915	1095	758	1181	1048	895	1029	837	1083	1002	777	1114	809	1126	1017	1109	1081	1078	1088	1008	1053	966	1007	986	1073	975	940	939	986	951	1189	842	928	938	1089	
1011	758	953	897	838	771	825	608	733	743	670	772	774	808	736	724	1044	710	886	816	716	685	910	868	752	888	812	715	738	820	822	622	611	654	617	991	668	671	696	859	
876	602	798	810	775	602	735	548	649	750	650	780	669	684	706	581	825	722	792	738	673	617	712	766	672	731	798	730	698	841	689	500	622	693	553	806	661	635	614	893	
901	756	825	1000	887	679	831	666	799	797	635	789	753	845	729	556	895	630	823	783	878	737	747	829	788	785	716	678	738	858	839	735	776	761	615	894	630	717	665	862	
